upstream_path,status,entity_kind,unmapped_reason
/alliances,deliberately-unmapped,,not-built
/alliances/{alliance_id},deliberately-unmapped,,not-built
/alliances/{alliance_id}/contacts,deliberately-unmapped,,not-built
/alliances/{alliance_id}/contacts/labels,deliberately-unmapped,,not-built
/alliances/{alliance_id}/corporations,deliberately-unmapped,,not-built
/alliances/{alliance_id}/icons,deliberately-unmapped,,no-capability
/characters/{character_id},mapped,character,
/characters/{character_id}/access-lists,deliberately-unmapped,,post-v1.0
/characters/{character_id}/access-lists/{access_list_id},deliberately-unmapped,,post-v1.0
/characters/{character_id}/agents_research,mapped,character,
/characters/{character_id}/assets,mapped,character,
/characters/{character_id}/attributes,mapped,character,
/characters/{character_id}/blueprints,mapped,character,
/characters/{character_id}/calendar,mapped,character,
/characters/{character_id}/calendar/{event_id},mapped,character,
/characters/{character_id}/calendar/{event_id}/attendees,mapped,character,
/characters/{character_id}/clones,mapped,character,
/characters/{character_id}/contacts,mapped,character,
/characters/{character_id}/contacts/labels,mapped,character,
/characters/{character_id}/contracts,mapped,character,
/characters/{character_id}/contracts/{contract_id}/bids,mapped,character,
/characters/{character_id}/contracts/{contract_id}/items,mapped,character,
/characters/{character_id}/corporationhistory,mapped,character,
/characters/{character_id}/fatigue,mapped,character,
/characters/{character_id}/fittings,deliberately-unmapped,,not-built
/characters/{character_id}/fleet,deliberately-unmapped,,post-v1.0
/characters/{character_id}/freelance-jobs,deliberately-unmapped,,post-v1.0
/characters/{character_id}/freelance-jobs/{job_id}/participation,deliberately-unmapped,,post-v1.0
/characters/{character_id}/fw/stats,deliberately-unmapped,,no-capability
/characters/{character_id}/implants,mapped,character,
/characters/{character_id}/industry/jobs,mapped,character,
/characters/{character_id}/killmails/recent,deliberately-unmapped,,not-built
/characters/{character_id}/location,mapped,character,
/characters/{character_id}/loyalty/points,mapped,character,
/characters/{character_id}/mail,mapped,character,
/characters/{character_id}/mail/labels,mapped,character,
/characters/{character_id}/mail/lists,mapped,character,
/characters/{character_id}/mail/{mail_id},mapped,character,
/characters/{character_id}/medals,mapped,character,
/characters/{character_id}/mercenary-tactical-operations,deliberately-unmapped,,post-v1.0
/characters/{character_id}/mercenary-tactical-operations/{operation_id},deliberately-unmapped,,post-v1.0
/characters/{character_id}/military-campaigns/objectives,deliberately-unmapped,,post-v1.0
/characters/{character_id}/military-campaigns/objectives/{objective_id},deliberately-unmapped,,post-v1.0
/characters/{character_id}/mining,mapped,character,
/characters/{character_id}/notifications,mapped,character,
/characters/{character_id}/notifications/contacts,deliberately-unmapped,,not-built
/characters/{character_id}/online,mapped,character,
/characters/{character_id}/orders,mapped,character,
/characters/{character_id}/orders/history,mapped,character,
/characters/{character_id}/planets,mapped,character,
/characters/{character_id}/planets/{planet_id},mapped,character,
/characters/{character_id}/portrait,deliberately-unmapped,,no-capability
/characters/{character_id}/roles,mapped,character,
/characters/{character_id}/search,deliberately-unmapped,,on-demand
/characters/{character_id}/ship,mapped,character,
/characters/{character_id}/skillqueue,mapped,character,
/characters/{character_id}/skills,mapped,character,
/characters/{character_id}/standings,mapped,character,
/characters/{character_id}/structures/mercenary-dens,deliberately-unmapped,,post-v1.0
/characters/{character_id}/structures/mercenary-dens/{mercenary_den_id},deliberately-unmapped,,post-v1.0
/characters/{character_id}/titles,mapped,character,
/characters/{character_id}/wallet,mapped,character,
/characters/{character_id}/wallet/journal,mapped,character,
/characters/{character_id}/wallet/transactions,mapped,character,
/contracts/public/bids/{contract_id},deliberately-unmapped,,post-v1.0
/contracts/public/items/{contract_id},deliberately-unmapped,,post-v1.0
/contracts/public/{region_id},deliberately-unmapped,,post-v1.0
/corporation/{corporation_id}/mining/extractions,mapped,corporation,
/corporation/{corporation_id}/mining/observers,mapped,corporation,
/corporation/{corporation_id}/mining/observers/{observer_id},mapped,corporation,
/corporations/npccorps,deliberately-unmapped,,sde
/corporations/{corporation_id},mapped,corporation,
/corporations/{corporation_id}/alliancehistory,mapped,corporation,
/corporations/{corporation_id}/assets,mapped,corporation,
/corporations/{corporation_id}/blueprints,mapped,corporation,
/corporations/{corporation_id}/contacts,mapped,corporation,
/corporations/{corporation_id}/contacts/labels,mapped,corporation,
/corporations/{corporation_id}/containers/logs,mapped,corporation,
/corporations/{corporation_id}/contracts,mapped,corporation,
/corporations/{corporation_id}/contracts/{contract_id}/bids,mapped,corporation,
/corporations/{corporation_id}/contracts/{contract_id}/items,mapped,corporation,
/corporations/{corporation_id}/customs_offices,mapped,corporation,
/corporations/{corporation_id}/divisions,mapped,corporation,
/corporations/{corporation_id}/facilities,mapped,corporation,
/corporations/{corporation_id}/freelance-jobs,deliberately-unmapped,,post-v1.0
/corporations/{corporation_id}/freelance-jobs/{job_id}/participants,deliberately-unmapped,,post-v1.0
/corporations/{corporation_id}/fw/stats,deliberately-unmapped,,no-capability
/corporations/{corporation_id}/icons,deliberately-unmapped,,no-capability
/corporations/{corporation_id}/industry/jobs,mapped,corporation,
/corporations/{corporation_id}/killmails/recent,deliberately-unmapped,,not-built
/corporations/{corporation_id}/medals,mapped,corporation,
/corporations/{corporation_id}/medals/issued,mapped,corporation,
/corporations/{corporation_id}/members,mapped,corporation,
/corporations/{corporation_id}/members/limit,mapped,corporation,
/corporations/{corporation_id}/members/titles,mapped,corporation,
/corporations/{corporation_id}/membertracking,mapped,corporation,
/corporations/{corporation_id}/orders,mapped,corporation,
/corporations/{corporation_id}/orders/history,mapped,corporation,
/corporations/{corporation_id}/projects,mapped,corporation,
/corporations/{corporation_id}/projects/{project_id},deliberately-unmapped,,not-built
/corporations/{corporation_id}/projects/{project_id}/contribution/{character_id},deliberately-unmapped,,not-built
/corporations/{corporation_id}/projects/{project_id}/contributors,mapped,corporation,
/corporations/{corporation_id}/roles,mapped,corporation,
/corporations/{corporation_id}/roles/history,mapped,corporation,
/corporations/{corporation_id}/shareholders,mapped,corporation,
/corporations/{corporation_id}/standings,mapped,corporation,
/corporations/{corporation_id}/starbases,mapped,corporation,
/corporations/{corporation_id}/starbases/{starbase_id},mapped,corporation,
/corporations/{corporation_id}/structures,mapped,corporation,
/corporations/{corporation_id}/structures/skyhooks,mapped,corporation,
/corporations/{corporation_id}/structures/skyhooks/{skyhook_id},mapped,corporation,
/corporations/{corporation_id}/structures/sovereignty-hubs,mapped,corporation,
/corporations/{corporation_id}/structures/sovereignty-hubs/{sovereignty_hub_id},mapped,corporation,
/corporations/{corporation_id}/titles,mapped,corporation,
/corporations/{corporation_id}/wallets,mapped,corporation,
/corporations/{corporation_id}/wallets/{division}/journal,mapped,corporation,
/corporations/{corporation_id}/wallets/{division}/transactions,mapped,corporation,
/dogma/attributes,deliberately-unmapped,,sde
/dogma/attributes/{attribute_id},deliberately-unmapped,,sde
/dogma/dynamic/items/{type_id}/{item_id},deliberately-unmapped,,no-capability
/dogma/effects,deliberately-unmapped,,sde
/dogma/effects/{effect_id},deliberately-unmapped,,sde
/fleets/{fleet_id},deliberately-unmapped,,post-v1.0
/fleets/{fleet_id}/members,deliberately-unmapped,,post-v1.0
/fleets/{fleet_id}/wings,deliberately-unmapped,,post-v1.0
/freelance-jobs,deliberately-unmapped,,post-v1.0
/freelance-jobs/{job_id},deliberately-unmapped,,post-v1.0
/fw/leaderboards,deliberately-unmapped,,no-capability
/fw/leaderboards/characters,deliberately-unmapped,,no-capability
/fw/leaderboards/corporations,deliberately-unmapped,,no-capability
