minute,group,max_divergence,max_prediction_error
2026-08-16T14:23Z,char-asset,0,2
2026-08-16T14:23Z,char-contract,0,0
2026-08-16T14:23Z,char-detail,0,2
2026-08-16T14:23Z,char-industry,0,2
2026-08-16T14:23Z,char-killmail,0,0
2026-08-16T14:23Z,char-location,0,2
2026-08-16T14:23Z,char-notification,0,0
2026-08-16T14:23Z,char-social,0,0
2026-08-16T14:23Z,char-wallet,0,0
2026-08-16T14:23Z,fitting,0,0
2026-08-16T14:24Z,char-asset,0,2
2026-08-16T14:24Z,char-contract,0,0
2026-08-16T14:24Z,char-detail,0,2
2026-08-16T14:24Z,char-industry,0,2
2026-08-16T14:24Z,char-killmail,0,0
2026-08-16T14:24Z,char-location,0,4
2026-08-16T14:24Z,char-notification,0,0
2026-08-16T14:24Z,char-social,0,2
2026-08-16T14:24Z,char-wallet,0,2
2026-08-16T14:24Z,fitting,0,0
2026-08-16T14:25Z,char-asset,0,2
2026-08-16T14:25Z,char-contract,0,0
2026-08-16T14:25Z,char-detail,0,2
2026-08-16T14:25Z,char-industry,0,2
2026-08-16T14:25Z,char-killmail,0,0
2026-08-16T14:25Z,char-location,0,2
2026-08-16T14:25Z,char-notification,0,0
2026-08-16T14:25Z,char-social,0,2
2026-08-16T14:25Z,char-wallet,0,2
2026-08-16T14:25Z,fitting,0,0
2026-08-16T14:26Z,char-asset,0,2
2026-08-16T14:26Z,char-contract,0,0
2026-08-16T14:26Z,char-detail,0,2
2026-08-16T14:26Z,char-industry,0,2
2026-08-16T14:26Z,char-killmail,0,0
2026-08-16T14:26Z,char-location,0,2
2026-08-16T14:26Z,char-notification,0,0
2026-08-16T14:26Z,char-social,0,2
2026-08-16T14:26Z,char-wallet,0,2
2026-08-16T14:26Z,fitting,0,0
2026-08-16T14:27Z,char-asset,0,2
2026-08-16T14:27Z,char-contract,0,0
2026-08-16T14:27Z,char-detail,0,2
2026-08-16T14:27Z,char-industry,0,2
2026-08-16T14:27Z,char-killmail,0,0
2026-08-16T14:27Z,char-location,0,2
2026-08-16T14:27Z,char-notification,0,0
2026-08-16T14:27Z,char-social,0,4
2026-08-16T14:27Z,char-wallet,0,2
2026-08-16T14:27Z,fitting,0,0
2026-08-16T14:28Z,char-asset,0,2
2026-08-16T14:28Z,char-contract,0,0
2026-08-16T14:28Z,char-detail,0,2
2026-08-16T14:28Z,char-industry,0,2
2026-08-16T14:28Z,char-killmail,0,0
2026-08-16T14:28Z,char-location,0,2
2026-08-16T14:28Z,char-notification,0,0
2026-08-16T14:28Z,char-social,0,2
2026-08-16T14:28Z,char-wallet,0,2
2026-08-16T14:28Z,fitting,0,0
2026-08-16T14:29Z,char-asset,0,2
2026-08-16T14:29Z,char-contract,0,0
2026-08-16T14:29Z,char-detail,0,2
2026-08-16T14:29Z,char-industry,0,2
2026-08-16T14:29Z,char-killmail,0,0
2026-08-16T14:29Z,char-location,0,2
2026-08-16T14:29Z,char-notification,0,0
2026-08-16T14:29Z,char-social,0,2
2026-08-16T14:29Z,char-wallet,0,2
2026-08-16T14:29Z,fitting,0,0
2026-08-16T14:30Z,char-asset,0,2
2026-08-16T14:30Z,char-contract,0,0
2026-08-16T14:30Z,char-detail,0,2
2026-08-16T14:30Z,char-industry,0,2
2026-08-16T14:30Z,char-killmail,0,0
2026-08-16T14:30Z,char-location,0,2
2026-08-16T14:30Z,char-notification,0,0
2026-08-16T14:30Z,char-social,0,2
2026-08-16T14:30Z,char-wallet,0,2
2026-08-16T14:30Z,fitting,0,0
2026-08-16T14:31Z,char-asset,0,2
2026-08-16T14:31Z,char-contract,0,0
2026-08-16T14:31Z,char-detail,0,4
2026-08-16T14:31Z,char-industry,0,2
2026-08-16T14:31Z,char-killmail,0,0
2026-08-16T14:31Z,char-location,0,2
2026-08-16T14:31Z,char-notification,0,0
2026-08-16T14:31Z,char-social,0,2
2026-08-16T14:31Z,char-wallet,0,7
2026-08-16T14:31Z,fitting,0,0
2026-08-16T14:32Z,char-asset,0,2
2026-08-16T14:32Z,char-contract,0,0
2026-08-16T14:32Z,char-detail,0,2
2026-08-16T14:32Z,char-industry,0,2
2026-08-16T14:32Z,char-killmail,0,0
2026-08-16T14:32Z,char-location,0,2
2026-08-16T14:32Z,char-notification,0,0
2026-08-16T14:32Z,char-social,0,2
2026-08-16T14:32Z,char-wallet,0,7
2026-08-16T14:32Z,fitting,0,0
2026-08-16T14:33Z,char-asset,0,2
2026-08-16T14:33Z,char-contract,0,0
2026-08-16T14:33Z,char-detail,0,2
2026-08-16T14:33Z,char-industry,0,2
2026-08-16T14:33Z,char-killmail,0,0
2026-08-16T14:33Z,char-location,0,7
2026-08-16T14:33Z,char-notification,0,0
2026-08-16T14:33Z,char-social,0,2
2026-08-16T14:33Z,char-wallet,0,4
2026-08-16T14:33Z,fitting,0,0
2026-08-16T14:34Z,char-asset,0,2
2026-08-16T14:34Z,char-contract,0,0
2026-08-16T14:34Z,char-detail,0,2
2026-08-16T14:34Z,char-industry,0,2
2026-08-16T14:34Z,char-killmail,0,0
2026-08-16T14:34Z,char-location,0,7
2026-08-16T14:34Z,char-notification,0,0
2026-08-16T14:34Z,char-social,0,2
2026-08-16T14:34Z,char-wallet,0,2
2026-08-16T14:34Z,fitting,0,0
2026-08-16T14:35Z,char-asset,0,2
2026-08-16T14:35Z,char-contract,0,0
2026-08-16T14:35Z,char-detail,0,2
2026-08-16T14:35Z,char-industry,0,2
2026-08-16T14:35Z,char-killmail,0,0
2026-08-16T14:35Z,char-location,0,2
2026-08-16T14:35Z,char-notification,0,0
2026-08-16T14:35Z,char-social,0,4
2026-08-16T14:35Z,char-wallet,0,2
2026-08-16T14:35Z,fitting,0,0
2026-08-16T14:36Z,char-asset,0,2
2026-08-16T14:36Z,char-contract,0,0
2026-08-16T14:36Z,char-detail,0,2
2026-08-16T14:36Z,char-industry,0,2
2026-08-16T14:36Z,char-killmail,0,0
2026-08-16T14:36Z,char-location,0,4
2026-08-16T14:36Z,char-notification,0,0
2026-08-16T14:36Z,char-social,0,4
2026-08-16T14:36Z,char-wallet,0,2
2026-08-16T14:36Z,fitting,0,0
2026-08-16T14:37Z,char-asset,0,2
2026-08-16T14:37Z,char-contract,0,0
2026-08-16T14:37Z,char-detail,0,2
2026-08-16T14:37Z,char-industry,0,2
2026-08-16T14:37Z,char-killmail,0,0
2026-08-16T14:37Z,char-location,0,2
2026-08-16T14:37Z,char-notification,0,0
2026-08-16T14:37Z,char-social,0,2
2026-08-16T14:37Z,char-wallet,0,2
2026-08-16T14:37Z,fitting,0,0
2026-08-16T14:38Z,char-asset,0,0
2026-08-16T14:38Z,char-contract,0,0
2026-08-16T14:38Z,char-detail,0,4
2026-08-16T14:38Z,char-industry,0,2
2026-08-16T14:38Z,char-killmail,0,0
2026-08-16T14:38Z,char-location,0,4
2026-08-16T14:38Z,char-notification,0,0
2026-08-16T14:38Z,char-social,0,2
2026-08-16T14:38Z,char-wallet,0,2
2026-08-16T14:38Z,fitting,0,0
2026-08-16T14:39Z,char-asset,0,0
2026-08-16T14:39Z,char-contract,0,0
2026-08-16T14:39Z,char-detail,0,5
2026-08-16T14:39Z,char-industry,0,5
2026-08-16T14:39Z,char-killmail,0,0
2026-08-16T14:39Z,char-location,0,2
2026-08-16T14:39Z,char-notification,0,0
2026-08-16T14:39Z,char-social,0,0
2026-08-16T14:39Z,char-wallet,0,2
2026-08-16T14:39Z,fitting,0,0
2026-08-16T14:40Z,char-asset,0,0
2026-08-16T14:40Z,char-contract,0,0
2026-08-16T14:40Z,char-detail,0,5
2026-08-16T14:40Z,char-industry,0,2
2026-08-16T14:40Z,char-killmail,0,0
2026-08-16T14:40Z,char-location,0,2
2026-08-16T14:40Z,char-notification,0,0
2026-08-16T14:40Z,char-social,0,0
2026-08-16T14:40Z,char-wallet,0,2
2026-08-16T14:40Z,fitting,0,0
2026-08-16T14:41Z,char-asset,0,0
2026-08-16T14:41Z,char-contract,0,0
2026-08-16T14:41Z,char-detail,0,5
2026-08-16T14:41Z,char-industry,0,2
2026-08-16T14:41Z,char-killmail,0,0
2026-08-16T14:41Z,char-location,0,2
2026-08-16T14:41Z,char-notification,0,0
2026-08-16T14:41Z,char-social,0,0
2026-08-16T14:41Z,char-wallet,0,2
2026-08-16T14:41Z,fitting,0,0
2026-08-16T14:42Z,char-asset,0,0
2026-08-16T14:42Z,char-contract,0,0
2026-08-16T14:42Z,char-detail,0,5
2026-08-16T14:42Z,char-industry,0,2
2026-08-16T14:42Z,char-killmail,0,0
2026-08-16T14:42Z,char-location,0,2
2026-08-16T14:42Z,char-notification,0,0
2026-08-16T14:42Z,char-social,0,0
2026-08-16T14:42Z,char-wallet,0,2
2026-08-16T14:42Z,fitting,0,0
2026-08-16T14:43Z,char-asset,0,0
2026-08-16T14:43Z,char-contract,0,0
2026-08-16T14:43Z,char-detail,0,5
2026-08-16T14:43Z,char-industry,0,2
2026-08-16T14:43Z,char-killmail,0,0
2026-08-16T14:43Z,char-location,0,2
2026-08-16T14:43Z,char-notification,0,0
2026-08-16T14:43Z,char-social,0,0
2026-08-16T14:43Z,char-wallet,0,2
2026-08-16T14:43Z,fitting,0,0
2026-08-16T14:44Z,char-asset,0,0
2026-08-16T14:44Z,char-contract,0,0
2026-08-16T14:44Z,char-detail,0,5
2026-08-16T14:44Z,char-industry,0,2
2026-08-16T14:44Z,char-killmail,0,0
2026-08-16T14:44Z,char-location,0,2
2026-08-16T14:44Z,char-notification,0,0
2026-08-16T14:44Z,char-social,0,0
2026-08-16T14:44Z,char-wallet,0,2
2026-08-16T14:44Z,fitting,0,0
2026-08-16T14:45Z,char-asset,0,0
2026-08-16T14:45Z,char-contract,0,0
2026-08-16T14:45Z,char-detail,0,5
2026-08-16T14:45Z,char-industry,0,2
2026-08-16T14:45Z,char-killmail,0,0
2026-08-16T14:45Z,char-location,0,2
2026-08-16T14:45Z,char-notification,0,0
2026-08-16T14:45Z,char-social,0,0
2026-08-16T14:45Z,char-wallet,0,2
2026-08-16T14:45Z,fitting,0,0
2026-08-16T14:46Z,char-asset,0,0
2026-08-16T14:46Z,char-contract,0,0
2026-08-16T14:46Z,char-detail,0,5
2026-08-16T14:46Z,char-industry,0,2
2026-08-16T14:46Z,char-killmail,0,0
2026-08-16T14:46Z,char-location,0,2
2026-08-16T14:46Z,char-notification,0,0
2026-08-16T14:46Z,char-social,0,0
2026-08-16T14:46Z,char-wallet,0,2
2026-08-16T14:46Z,fitting,0,0
2026-08-16T14:47Z,char-asset,0,0
2026-08-16T14:47Z,char-contract,0,0
2026-08-16T14:47Z,char-detail,0,5
2026-08-16T14:47Z,char-industry,0,2
2026-08-16T14:47Z,char-killmail,0,0
2026-08-16T14:47Z,char-location,0,2
2026-08-16T14:47Z,char-notification,0,0
2026-08-16T14:47Z,char-social,0,0
2026-08-16T14:47Z,char-wallet,0,2
2026-08-16T14:47Z,fitting,0,0
2026-08-16T14:48Z,char-asset,0,0
2026-08-16T14:48Z,char-contract,0,0
2026-08-16T14:48Z,char-detail,0,5
2026-08-16T14:48Z,char-industry,0,2
2026-08-16T14:48Z,char-killmail,0,0
2026-08-16T14:48Z,char-location,0,2
2026-08-16T14:48Z,char-notification,0,0
2026-08-16T14:48Z,char-social,0,0
2026-08-16T14:48Z,char-wallet,0,2
2026-08-16T14:48Z,fitting,0,0
2026-08-16T14:49Z,char-asset,0,0
2026-08-16T14:49Z,char-contract,0,0
2026-08-16T14:49Z,char-detail,0,5
2026-08-16T14:49Z,char-industry,0,2
2026-08-16T14:49Z,char-killmail,0,0
2026-08-16T14:49Z,char-location,0,2
2026-08-16T14:49Z,char-notification,0,0
2026-08-16T14:49Z,char-social,0,0
2026-08-16T14:49Z,char-wallet,0,2
2026-08-16T14:49Z,fitting,0,0
2026-08-16T14:50Z,char-asset,0,0
2026-08-16T14:50Z,char-contract,0,0
2026-08-16T14:50Z,char-detail,0,5
2026-08-16T14:50Z,char-industry,0,2
2026-08-16T14:50Z,char-killmail,0,0
2026-08-16T14:50Z,char-location,0,2
2026-08-16T14:50Z,char-notification,0,0
2026-08-16T14:50Z,char-social,0,0
2026-08-16T14:50Z,char-wallet,0,2
2026-08-16T14:50Z,fitting,0,0
2026-08-16T14:51Z,char-asset,0,0
2026-08-16T14:51Z,char-contract,0,0
2026-08-16T14:51Z,char-detail,0,5
2026-08-16T14:51Z,char-industry,0,2
2026-08-16T14:51Z,char-killmail,0,0
2026-08-16T14:51Z,char-location,0,2
2026-08-16T14:51Z,char-notification,0,0
2026-08-16T14:51Z,char-social,0,0
2026-08-16T14:51Z,char-wallet,0,2
2026-08-16T14:51Z,fitting,0,0
2026-08-16T14:52Z,char-asset,0,0
2026-08-16T14:52Z,char-contract,0,0
2026-08-16T14:52Z,char-detail,0,5
2026-08-16T14:52Z,char-industry,0,2
2026-08-16T14:52Z,char-killmail,0,0
2026-08-16T14:52Z,char-location,0,2
2026-08-16T14:52Z,char-notification,0,0
2026-08-16T14:52Z,char-social,0,0
2026-08-16T14:52Z,char-wallet,0,2
2026-08-16T14:52Z,fitting,0,0
2026-08-16T14:53Z,char-asset,0,0
2026-08-16T14:53Z,char-contract,0,0
2026-08-16T14:53Z,char-detail,0,5
2026-08-16T14:53Z,char-industry,0,2
2026-08-16T14:53Z,char-killmail,0,0
2026-08-16T14:53Z,char-location,0,2
2026-08-16T14:53Z,char-notification,0,0
2026-08-16T14:53Z,char-social,0,0
2026-08-16T14:53Z,char-wallet,0,2
2026-08-16T14:53Z,fitting,0,0
2026-08-16T14:54Z,char-asset,0,0
2026-08-16T14:54Z,char-contract,0,0
2026-08-16T14:54Z,char-detail,0,0
2026-08-16T14:54Z,char-industry,0,0
2026-08-16T14:54Z,char-killmail,0,0
2026-08-16T14:54Z,char-location,0,0
2026-08-16T14:54Z,char-notification,0,0
2026-08-16T14:54Z,char-social,0,0
2026-08-16T14:54Z,char-wallet,0,0
2026-08-16T14:54Z,fitting,0,0
