capability_id,capability_name,upstream_esi_routes,legacy_controllers,alert_types,hangar_endpoints,delivering_phase,verification_test,status,note
1,"Assets (+ location/name resolution, recursive tree)",/characters/{character_id}/assets,CharacterController,,/api/v1/characters/{id}/assets /api/v1/characters/{id}/assets/tree,6,TestSyncAssets,verified,
2,Blueprints,/characters/{character_id}/blueprints,CharacterController,,/api/v1/characters/{id}/blueprints,6,TestSyncBlueprints,verified,
3,"Calendar (events, detail, attendees)",/characters/{character_id}/calendar /characters/{character_id}/calendar/{event_id} /characters/{character_id}/calendar/{event_id}/attendees,,,/api/v1/characters/{id}/calendar,7,TestSyncCalendar,verified,
4,Clones & Implants,/characters/{character_id}/clones /characters/{character_id}/implants,CharacterController,,/api/v1/characters/{id}/clones,7,TestSyncCharacterClones,verified,
5,Contacts & Labels,/characters/{character_id}/contacts /characters/{character_id}/contacts/labels,CharacterController,,/api/v1/characters/{id}/contacts,7,TestSyncCharacterContacts,verified,
6,"Contracts (headers, items, bids)",/characters/{character_id}/contracts /characters/{character_id}/contracts/{contract_id}/items /characters/{character_id}/contracts/{contract_id}/bids,CharacterController,,/api/v1/characters/{id}/contracts,9,TestSyncContracts,verified,
7,Fatigue,/characters/{character_id}/fatigue,,,/api/v1/characters/{id},7,TestSyncCharacterFatigue,verified,
8,Fittings (+ EFT export),/characters/{character_id}/fittings,,,/api/v1/characters/{id}/fittings /api/v1/characters/{id}/fittings/{sub_id}/eft,7,TestSyncCharacterFittings,verified,
9,Industry Jobs & Mining Ledger,/characters/{character_id}/industry/jobs /characters/{character_id}/mining,CharacterController,,/api/v1/characters/{id}/industry,8,TestSyncIndustryJobs,verified,
10,"Mail (headers, labels, lists, bodies)",/characters/{character_id}/mail /characters/{character_id}/mail/labels /characters/{character_id}/mail/lists /characters/{character_id}/mail/{mail_id},CharacterController,,/api/v1/characters/{id}/mail,8,TestKeysetPagesAreTotallyOrdered,verified,
11,Notifications (+ contact notifications),/characters/{character_id}/notifications /characters/{character_id}/notifications/contacts,CharacterController,,/api/v1/characters/{id}/notifications,9,TestKeysetPagesAreTotallyOrdered,verified,
12,Planetary Interaction (colonies + colony detail),/characters/{character_id}/planets /characters/{character_id}/planets/{planet_id},,,/api/v1/characters/{id}/planets,8,TestSyncPlanetColonies,verified,
13,"Skills, Queue & Attributes",/characters/{character_id}/skills /characters/{character_id}/skillqueue /characters/{character_id}/attributes,CharacterController,,/api/v1/characters/{id}/skills /api/v1/characters/{id}/skills/summary,6,TestSyncCharacterSkills,verified,
