controller,pattern,status,corpus,http_status,expected_bytes,actual_bytes,expected_sha256,actual_sha256,byte_identical,first_difference_at,reason
RoleController,/api/v2/roles,breaking,,410,0,0,,,false,-1,the RBAC grant model changed shape entirely; there is no role object to translate onto.
RoleLookupController,/api/v2/roles/query/permissions,breaking,,410,0,0,,,false,-1,the RBAC grant model changed shape entirely; there is no role object to translate onto.
AllianceController,/api/v2/alliance/contacts/{id},served,alliance.contacts,200,459,459,c794f6adb89a1afe57728dfee6347398de606cdb01ae8f4e8f36459085e2c82d,c794f6adb89a1afe57728dfee6347398de606cdb01ae8f4e8f36459085e2c82d,true,-1,
CharacterController,/api/v2/character/contacts/{id},served,character.contacts,200,586,586,69c4c4e9f0fc4fb4e5ef184253631512afd9731f79600ec36f6697061a811ae8,69c4c4e9f0fc4fb4e5ef184253631512afd9731f79600ec36f6697061a811ae8,true,-1,
CharacterController,/api/v2/character/corporation-history/{id},served,character.corporation-history,200,570,570,d1539ce37c5161bad79236d24204c9766bf1252debe1e9c6bb56d314b88da4b7,d1539ce37c5161bad79236d24204c9766bf1252debe1e9c6bb56d314b88da4b7,true,-1,
CharacterController,/api/v2/character/industry/{id},served,character.industry,200,1452,1452,07ab737c2ef02e49961f1b42e59352ec9c4efe78ba97abfedf5368e299112c0a,07ab737c2ef02e49961f1b42e59352ec9c4efe78ba97abfedf5368e299112c0a,true,-1,
CharacterController,/api/v2/character/jump-clones/{id},served,character.jump-clones,200,569,569,a97fd1e4f5473672bc90adb9f089a21f0bbcf6c1beae4fc2c8c528c37b89d72e,a97fd1e4f5473672bc90adb9f089a21f0bbcf6c1beae4fc2c8c528c37b89d72e,true,-1,
CharacterController,/api/v2/character/mail/{id},served,character.mail,200,595,595,0264952856f4274c2ba8d8a73610ff449bfd201c69c604939248624397d4f750,0264952856f4274c2ba8d8a73610ff449bfd201c69c604939248624397d4f750,true,-1,
CharacterController,/api/v2/character/market-orders/{id},served,character.market-orders,200,981,981,ab17fb27afab6e73e2ea2cb48ebea3022f597e8144a7417b24c0edc35b63eb76,ab17fb27afab6e73e2ea2cb48ebea3022f597e8144a7417b24c0edc35b63eb76,true,-1,
CharacterController,/api/v2/character/notifications/{id},served,character.notifications,200,587,587,82bc9d498f4b9587ee58d21f19aa0708526161bb998b0f41973a0b9cb0305fec,82bc9d498f4b9587ee58d21f19aa0708526161bb998b0f41973a0b9cb0305fec,true,-1,
CharacterController,/api/v2/character/skill-queue/{id},served,character.skill-queue,200,773,773,431d119a82265f28847609cae25482ca7e01fce571a8618fff072e87e3d0d12b,431d119a82265f28847609cae25482ca7e01fce571a8618fff072e87e3d0d12b,true,-1,
CharacterController,/api/v2/character/skills/{id},served,character.skills,200,520,520,29863e1affc39e2325c5a3a0124a8d09aeac6792bc88cd3a487a82e56974876b,29863e1affc39e2325c5a3a0124a8d09aeac6792bc88cd3a487a82e56974876b,true,-1,
CharacterController,/api/v2/character/wallet-journal/{id},served,character.wallet-journal,200,6451,6451,ceb6c27f3fa42657b2901effde43896f880ff22b11f09cd0c3686887d03e1db4,ceb6c27f3fa42657b2901effde43896f880ff22b11f09cd0c3686887d03e1db4,true,-1,
CorporationController,/api/v2/corporation/contacts/{id},served,corporation.contacts,200,470,470,cbc10c3dd8fa25a5995749b8a4e7e7560904f8b77e3203156098131e1e71bfcd,cbc10c3dd8fa25a5995749b8a4e7e7560904f8b77e3203156098131e1e71bfcd,true,-1,
CorporationController,/api/v2/corporation/industry/{id},served,corporation.industry,200,1450,1450,d012fe20ac97292ea60133444587e1b22a202548455d66ed9624da2d881f3315,d012fe20ac97292ea60133444587e1b22a202548455d66ed9624da2d881f3315,true,-1,
CorporationController,/api/v2/corporation/market-orders/{id},served,corporation.market-orders,200,1011,1011,f50bbac6a8978b37c552d7f414549c546da8b14e02b5d365ac97ab43a82573cf,f50bbac6a8978b37c552d7f414549c546da8b14e02b5d365ac97ab43a82573cf,true,-1,
CorporationController,/api/v2/corporation/member-tracking/{id},served,corporation.member-tracking,200,699,699,1a7afa5eb6d8bbb9a29d59cdeeb801ede5723a00c496b26f1aacf3211dcc50c0,1a7afa5eb6d8bbb9a29d59cdeeb801ede5723a00c496b26f1aacf3211dcc50c0,true,-1,
